source_file,doc_id,locus,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,anomaly,is_kuro
HTtexts,HT 115,a.4,PA-RA-NE,,1,,0,0,0,0,0
HTtexts,HT 115,a.4,A-SE-JA,,,DDDD,0,0,0,0,0
HTtexts,HT 115,a.5,KA-PO-RU,,1,,0,0,0,0,0
HTtexts,HT 115,a.7,SU,D vest.,2,,0,1,1,0,0
HTtexts,HT 115,b.1,RU PA-RA-NE,,,J,0,1,0,0,0
HTtexts,HT 115,b.2,TI-NU-JA NU-WI,GRA,,J,0,0,0,0,0
HTtexts,HT 115,b.2,DU-PA3-NA,,1,,0,0,0,0,0
HTtexts,HT 115,b.3,KU-RU-MA,I,,J,0,0,0,0,0
HTtexts,HT 115,b.3,*306-TU-JA,,1,,0,0,0,0,0
HTtexts,HT 115,b.4,A-I-,,1,,0,1,0,0,0
HTtexts,HT 115,b.4,*634 *306+MI,,1,,0,0,0,0,0
HTtexts,HT 116,a.1-2,KU-PA-JA,GRA,16,,0,0,0,0,0
HTtexts,HT 116,a.2,PU-RA2,GRA OLE+DI *608,405,,0,0,0,0,0
HTtexts,HT 116,a.3-4,SI+SE *529,GRA OLE+KI *618 OLE+MI *622 OLIV,16163,,0,0,0,0,0
HTtexts,HT 116,a.4,PI-*34-TE,GRA OLE+ OLE+MI *622 OLIV+TU *587,5512,,0,1,0,0,0
HTtexts,HT 116,a.5-6,SI-KI-NE,GRA *304,1212,,0,0,0,0,0
HTtexts,HT 116,a.6-7,QA-NU-MA,GRA *304,203,,0,0,0,0,0
HTtexts,HT 116,b.1,KU-RO,GRA *304,10015,,0,1,0,0,1
HTtexts,HT 116,b.2,OLE,,17,,0,0,0,0,0
HTtexts,HT 117,.1,A-DU,VIR+KA *568,20,,0,0,0,0,0
HTtexts,HT 117,.1-2,RE-ZA,,6,,0,0,0,0,0
HTtexts,HT 117,.2,FIC KI-KI-NA,,7,,0,0,0,0,0
HTtexts,HT 117,.4,KU-PA3-PA3,,1,,0,0,0,0,0
HTtexts,HT 117,.4,KA-JU,,1,,0,0,0,0,0
HTtexts,HT 117,.5,KU-PA3-NU,,1,,0,0,0,0,0
HTtexts,HT 117,.5,PA-JA-RE,,1,,0,0,0,0,0
HTtexts,HT 117,.5-6,SA-MA-RO,,1,,0,0,0,0,0
HTtexts,HT 117,.6,DA-TA-RE,,1,,0,0,0,0,0
HTtexts,HT 117,.6,KU-RO,,6,,0,0,0,0,1
HTtexts,HT 117,a.2,U-SU,,1,,0,0,0,0,0
HTtexts,HT 117,a.2,MI-TU,,1,,0,0,0,0,0
HTtexts,HT 117,a.2-3,KU-RA-MU,,1,,0,0,0,0,0
HTtexts,HT 117,a.3,MA-RU,,1,,0,0,0,0,0
HTtexts,HT 117,a.3,KU-PA3-NU,,1,,0,0,0,0,0
HTtexts,HT 117,a.3-4,TU-JU-MA,,1,,0,0,0,0,0
HTtexts,HT 117,a.4,U-DI-MI,,1,,0,0,0,0,0
HTtexts,HT 117,a.4-5,MI-RU-TA-RA-RE,,1,,0,0,0,0,0
HTtexts,HT 117,a.5,TE-JA-RE,,1,,0,0,0,0,0
HTtexts,HT 117,a.5,NA-DA-RE,,1,,0,0,0,0,0
HTtexts,HT 117,a.6,KU-RO,,10,,0,0,0,0,1
HTtexts,HT 117,a.7,KU-KU-DA-RA,,1,,0,0,0,0,0
HTtexts,HT 117,a.7-8,KO-SA-I-TI,,1,,0,0,0,0,0
HTtexts,HT 117,a.8,DA-MI-NU,,1,,0,0,0,0,0
HTtexts,HT 117,a.8-9,DA-NE-KU-TI,,1,,0,0,0,0,0
HTtexts,HT 117,a.9,KI-DA-RO,,1,,0,0,0,0,0
HTtexts,HT 117,b.1,KU-RE-JU,,1,,0,0,0,0,0
HTtexts,HT 117,b.2,DI-KI-SE,,1,,0,0,0,0,0
HTtexts,HT 118,.1,MA-DI,KI 10,15,,0,0,0,0,0
HTtexts,HT 118,.2-3,QA-QA-RU,KI 4,6,,0,0,0,0,0
HTtexts,HT 118,.3-4,A-RI-SU,KI 1,4,,0,0,0,0,0
HTtexts,HT 118,.4,RI-RU-MA,,10,,0,0,0,0,0
HTtexts,HT 118,.5,KU-RO,KI 15,30,,0,1,0,0,1
HTtexts,HT 119,.1,*327,,34,,0,0,0,0,0
HTtexts,HT 119,.1,VIR,,68,,0,0,0,0,0
HTtexts,HT 119,.2,RI-MI-SI,,13,,0,0,0,0,0
HTtexts,HT 119,.2,KO-JA,,10,,0,0,0,0,0
HTtexts,HT 119,.3,KU-PA3-NA-TU,,7,,0,0,0,0,0
HTtexts,HT 119,.3,TI,,7,,0,0,0,0,0
HTtexts,HT 119,.4,JA-*345,,10,,0,0,0,0,0
HTtexts,HT 119,.4,*306-TU,,2,,0,0,0,0,0
HTtexts,HT 119,.4,*327-JU,,8,,0,0,0,0,0
HTtexts,HT 119,.5,KU-RO,,160,,0,0,0,0,1
HTtexts,HT 12,.1-2,QA-TI-DA-TE,OLE+DI *608,5,,0,0,0,0,0
HTtexts,HT 12,.2,*304,,5,,0,0,0,0,0
HTtexts,HT 12,.3,QE-TU-NE,QA++PU *510,1,,1,1,0,0,0
HTtexts,HT 12,.4,,,30,E,0,0,0,0,0
HTtexts,HT 12,.4-5,MA+RU *559 *118 Talent,,5,,0,0,0,0,0
HTtexts,HT 12,.5,*303+E *626,,3,,0,0,0,0,0
HTtexts,HT 12,.5,FIC,,1,,0,0,0,0,0
HTtexts,HT 12,.6,QA++PU+RE *511,,,K,1,1,0,0,0
HTtexts,HT 12,.6,DA-I,,50,,0,0,0,0,0
HTtexts,HT 120,.1-2,DA-ME,GRA+K+L2 *584,74,,0,0,0,0,0
HTtexts,HT 120,.2-3,GRA+PA *574,J A,62,,0,0,0,0,0
HTtexts,HT 120,.3-4,DA-U-*49,I GRA+PA *574,20,,0,0,0,0,0
HTtexts,HT 120,.4-5,KI-RE-TA-NA,GRA+B *580,60,,0,0,0,0,0
HTtexts,HT 120,.6,GRA+PA *574,,48,,0,0,0,0,0
HTtexts,HT 120,.6,PA-I-TO,,3,D,0,0,0,0,0
HTtexts,HT 121,.1,KI-RI-TA2,OLE+QE+DI *623,10,,0,0,0,0,0
HTtexts,HT 121,.2,SA-RA2,GRA,5,,0,0,0,0,0
HTtexts,HT 121,.2,OLE,,4,,0,0,0,0,0
HTtexts,HT 121,.3,FIC,,2,,0,0,0,0,0
HTtexts,HT 121,.3,VINa,,3,,0,0,0,0,0
HTtexts,HT 121,.3-4,BOSm,,3,,0,0,0,0,0
HTtexts,HT 122,a.1,RA-RI U-DE-ZA,,2,,0,1,0,0,0
HTtexts,HT 122,a.2,,,2,,0,1,0,0,0
HTtexts,HT 122,a.2,DA-SI-*118,,2,,0,0,0,0,0
HTtexts,HT 122,a.3,-DI,,1,,0,1,1,0,0
HTtexts,HT 122,a.3,TE-KI,,2,,0,0,0,0,0
HTtexts,HT 122,a.4,QA-*310-I,,3,,0,0,0,0,0
HTtexts,HT 122,a.4,JA-MI-DA-RE,,1,,0,0,0,0,0
HTtexts,HT 122,a.5,SI-DA-RE,,1,,0,0,0,0,0
HTtexts,HT 122,a.5,*324-DI-RA,,1,,0,0,0,0,0
HTtexts,HT 122,a.5,PA-DE,,1,,0,0,0,0,0
HTtexts,HT 122,a.6,KU-PA3-NU,,1,,0,0,0,0,0
HTtexts,HT 122,a.6,PA-TA-NE,,1,,0,0,0,0,0
HTtexts,HT 122,a.6,*306-TU,,1,,0,0,0,0,0
HTtexts,HT 122,a.7,DU,,1,,0,1,0,0,0
HTtexts,HT 122,a.7,KU-PA3-NU,,1,,0,0,0,0,0
HTtexts,HT 122,a.7,DA-RI-DA,,1,,0,0,0,0,0
HTtexts,HT 122,a.8,KU-RO,,31,,0,0,0,0,1
HTtexts,HT 122,a.8,KU-DA,,1,,0,0,0,0,0
HTtexts,HT 122,b.2,*306-KI-TA2,,7,,0,1,0,0,0
HTtexts,HT 122,b.3,A-RA-JU-U-DE-ZA,,2,,0,1,0,0,0
HTtexts,HT 122,b.3-4,QA-QA-RU,,2,,0,0,0,0,0
HTtexts,HT 122,b.4,DI,,2,,0,0,0,0,0
HTtexts,HT 122,b.4,DA-RE,,2,,0,0,0,0,0
HTtexts,HT 122,b.5,KU-RO,,65,,0,0,0,0,1
HTtexts,HT 122,b.6,PO-TO-KU-RO,,97,,0,0,0,0,1
HTtexts,HT 123+124,a.1-2,KI-TA-I,OLIV *308 8 E KI-RO 1 X,31,,0,0,0,0,0
HTtexts,HT 123+124,a.3-4,PU-VINa,OLIV 31 J *308 8 J E KI-RO,,X,0,0,0,0,0
HTtexts,HT 123+124,a.4-5,SA-RU,OLIV *308 4 A KI-RO,16,JE,0,1,0,0,0
HTtexts,HT 123+124,a.6-7,DA-TU,OLIV *308 4 E KI-RO,15,JE,0,0,0,0,0
HTtexts,HT 123+124,a.8-9,KU-RO,25H KI-RO,6,,0,1,0,0,1
HTtexts,HT 123+124,b.1,*188 *308,,11,,0,0,0,0,0
HTtexts,HT 123+124,b.1,*312,,1,JE,0,0,0,0,0
HTtexts,HT 123+124,b.2,PI-SA,,4,,0,0,0,0,0
HTtexts,HT 123+124,b.2-3,*188,,1,,0,0,0,0,0
HTtexts,HT 123+124,b.3,*188-DU,,10,,0,0,0,0,0
HTtexts,HT 123+124,b.5,DU-MA-I-NA,,,EF,0,0,0,0,0
HTtexts,HT 123+124,b.6,KU-RO,,20,,0,0,0,0,1
HTtexts,HT 123+124,b.6,KI-RO,,5,,0,1,0,0,0
HTtexts,HT 124+123,a.2,OLE+KI *618,,1,D,0,1,0,0,0
HTtexts,HT 124+123,a.3,OLE+MI *622,,1,J,0,1,0,0,0
HTtexts,HT 124+123,a.4,SA-RA2,GRA,2,,0,1,0,0,0
HTtexts,HT 124+123,a.4,OLE,,1,,0,1,0,0,0
HTtexts,HT 124+123,b.2,,,20,,0,1,0,0,0
HTtexts,HT 124+123,b.3,RE-TA2,GRA+PA *574,20,,0,1,0,0,0
HTtexts,HT 124+123,b.4,GRA+F *582,,7,J,0,0,0,0,0
HTtexts,HT 124+123,b.4,*304,,10,,0,0,0,0,0
HTtexts,HT 124+123,b.4,FIC,,23,,0,0,0,0,0
HTtexts,HT 127,a.2,DU-NE-MI,,1,,0,1,0,0,0
HTtexts,HT 127,a.3,*304+PA-DA-*47-KU *629-DA-*47-KU,,1,,0,1,0,0,0
HTtexts,HT 127,b.2,NE,,13,,0,1,0,0,0
HTtexts,HT 127,b.4,KU-RO,*307,156,,0,0,0,0,1
HTtexts,HT 127,b.4-5,KU,,72,,0,0,0,0,0
HTtexts,HT 127,b.5,VIR+*313c *572,,24,,0,0,0,0,0
HTtexts,HT 127,b.5,KI+ME *545,,15,,0,0,0,0,0
HTtexts,HT 127,b.6,*301,,11,,0,0,0,0,0
HTtexts,HT 127,b.6,KI+ME *545,,14,,0,1,0,0,0
HTtexts,HT 127,b.7,KU-RO,,292,,0,0,0,0,1
HTtexts,HT 129,.1,KI-RE-TA2,GRA,33,JB,0,0,0,0,0
HTtexts,HT 129,.2,*304,,10,,0,0,0,0,0
HTtexts,HT 129,.2,FIC,,22,,0,0,0,0,0
HTtexts,HT 129,.2-3,TU-QIf-RI-NA,GRA,40,J,0,0,0,0,0
HTtexts,HT 129,.3,OLE+DI *608,,1,,0,1,0,0,0
HTtexts,HT 129,.4,OLE+KI *618,,6,,0,1,0,0,0
HTtexts,HT 129.1,a.2,A-NA-,,1,,0,1,0,0,0
HTtexts,HT 129.1,a.3,,,,J,0,1,0,0,0
HTtexts,HT 129.1,a.3,SI-DI-JA,,1,,0,1,0,0,0
HTtexts,HT 129.1,a.4,U-*49,,1,,0,1,0,0,0
HTtexts,HT 129.1,a.5,,,62,,0,1,0,0,0
HTtexts,HT 129.1,a.6,,,2,,0,1,0,0,0
HTtexts,HT 129.1,b.1,*305,,3,,0,1,0,0,0
HTtexts,HT 129.1,b.2,,,6,,0,1,0,0,0
HTtexts,HT 129.1,b.2,TWE,,4,,0,0,0,0,0
