rank	type	freq
390	KO-DO	5
391	PA-TA	5
392	NU-KA	5
393	KA-TA	5
394	E-PI-ZO-TA	5
395	PA-QO-SI-JO	5
396	TE-U	5
397	KE-TO	5
398	WO-NO	5
399	TA-RO	5
400	KI-TA-NO	5
401	A-SI-WI-JO	5
402	O-NA-SE-U	5
403	A-NI-JA-PI	5
404	A-NA-MO-TO	5
405	PE-RU-SI-NWA	5
406	TE-WE	5
407	KA-RA-U-KO	5
408	KU-NO	5
409	KA-SA-TO	5
410	I-WA-SO	5
411	E-SA-RE-WI-JA	5
412	E-RI-KO-WO	5
413	KE-KE-ME	5
414	NE-JA	5
415	E-MA-A2	5
416	E-KE-RO-QO-NO	5
417	A-TE-RE-WI-JA	5
418	A-KE-TI-RA2	5
419	TE-KO-TO-A-PE	5
420	E-RO-MA-TO	5
421	A3-SO-NI-JO	5
422	KA-MA-E-WE	5
423	KE-SA-DA-RA	5
424	U-RU-PI-JA-JO	5
425	ME-TA-KI-TI-TA	5
426	E-TE-WA	5
427	E-TO-NI-JO	5
428	AU-KE-I-JA-TE-WE	5
429	TO-TO	5
430	E-KO-ME-NO	5
431	U-PO-RA-KI-RI-JA	5
432	QE-TA-KO	5
433	SE-NO	5
434	O-RE-E-WO	5
435	PE-TO-NO	5
436	WI-JA-WE-RA2	5
437	KA-NA-PE-U	5
438	PO-ME-NE	5
439	PO-SO-RE-JA	5
440	E-KE-E	5
441	KA-PA-TI-JA	5
442	KA-RA-WI-PO-RO	5
443	KO-RI-SI-JA	5
444	O-RO-JO	5
445	O-PI-ME-NE	5
446	KA-RU-KE	5
447	WO-DO-WE	5
448	QE-TE-JO	5
449	RO-U-SI-JO	5
450	PE-RU-SI-NU-WO	5
451	SO-WE-NO-QE	5
452	O-TE	5
453	JA-SO-RO	5
454	A-RA-O	5
455	O-TI-RI-JA-I	5
456	MA-RA-TU-WO	5
457	TA-*22-DE-SO	5
458	KA-RA-E-RI-JO	4
459	PE-RE-QO-TA	4
460	I-WA-KA	4
461	KA-PA-RI-JO	4
462	ME-NU-WA	4
463	A-KA-TO	4
464	TO-RO-WO	4
465	WI-JO	4
466	QE-DA-DO-RO	4
467	PU-KO-RO	4
468	O-NE	4
469	TE-WA-JO	4
470	KE-TI-RO	4
471	A-MI-NI-SI	4
472	KU-NE	4
473	A-*64-JO	4
474	O-U-TE-MI	4
475	A3-KI-PA-TA	4
476	KU-DO	4
477	DA-WA-NO	4
478	KA-MO	4
479	E-TO-WO-KO	4
480	QE-RO	4
481	SU-KO	4
482	DI-ZO	4
483	E-RI	4
484	SA-MU-TA-JO	4
485	RI-JO-NI-JA	4
486	QA-MI-JA	4
487	KO-U-RE-JA	4
488	PE-NE-WE-TA	4
489	RA-WO	4
490	A-RA-KO	4
491	TA-SO	4
492	WO-DI-JE-JA	4
493	O-NU-KE	4
494	I-JO-TE	4
495	E-RE-U-TI-JA	4
496	NA-U-DO-MO	4
497	A-KE-TI-RI-JA	4
498	U-TA-NI-JO	4
499	TO-RA	4
500	KE-SA-DO-RO	4
501	KI-RI	4
502	A-PI	4
503	TA-RA	4
504	QI-RI-JA-TO	4
505	TI-JA	4
506	SU-ZA	4
507	QA-SA-RO-WE	4
508	NA-RO	4
509	A-NA-TO	4
510	E-RE-PA-TE-JO-PI	4
511	WE-JA	4
512	A-KO-RA-JO	4
513	WA-DU-NA-RO	4
514	TE-RE	4
515	KO-MA-WE-TE	4
516	A-PI-QO-TA	4
517	E-SE-RE-E-JO	4
518	PA-TE	4
519	DE-DE-ME-NA	4
520	E-WA-KO-RO	4
521	DI-RO	4
522	RA-SO	4
523	NE-U	4
524	PU-TO-RO	4
525	WO-NE-WE	4
526	MA-RI-TI-WI-JO	4
527	QO-TE-RO	4
528	A-TI	4
529	TO-KO	4
530	A-NU	4
531	MO-RI-WO-DO	4
532	TA-TO-MO	4
533	ME-SA-TO	4
534	KA-KA	4
535	I-QO-E-QE	4
536	WI-RI-NE-O	4
537	DE-DO-ME-NA	4
538	DO-SI	4
539	RU-WA	4
540	KE-U	4
541	DA-*22-TI	4
542	TO-RO	4
543	WA-JA	4
544	DA-MO-KO-RO	4
545	KE-KI	4
546	MA-RA	4
547	TO-SO-PA	4
548	KU-RI-SA-TO	4
549	DO-E	4
550	PO-TO-RO-WA-PI	4
551	O-WI-TO-NO	4
552	NE-WO-PE-O	4
553	E-RE	4
554	QE-TO-RO-PO-PI	4
555	PE-RE-KE-WE	4
556	TO-KO-DO-MO	4
557	ME-RI-DU-MA-TE	4
558	O-PI-TE-U-KE-E-WE	4
559	A-TO-PO-QO	4
560	A-E-RI-QO-TA	4
561	I-NA-O	4
562	O-TWO-WE-O	4
563	A-PI-JO-TO	4
564	O-KA-RA3	4
565	KI-TI-TA	4
566	E-RE-E	4
567	PO-SO-RO	4
568	MI-JO-QA	4
569	WE-TO	4
570	WE-RE-KE	4
571	A-KA-MA-WO	4
572	A-WE-KE-SE-U	4
573	A-KA-NA-JO	4
574	A2-PA-TU-WO-TE	4
575	A-KE-RO	4
576	TA-RA-MA-TA	4
577	DU-WO-U-PI	4
578	A-DA-MA-O	4
579	RA-SU-RO	4
580	PE-KI-TA	4
581	E-*65-TO	4
582	E-DO-MO-NE-U	4
583	DO-E-RO-I	4
584	PA-KI-JA-NA-DE	4
585	DI-PI-SI-JO-I	4
