hash,basename,experiment_dir,canonical,n_locations,ext
09f160fb5a9bb726,INFORMATION_BUDGET.json,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/INFORMATION_BUDGET.json,1,json
546649bb97a03bdf,stage_d5_cross_site_support_invariance.py,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/scripts/stage_d5_cross_site_support_invariance.py,1,py
e0a1c337c8418a3b,stage_b_clean_representation.py,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/scripts/stage_b_clean_representation.py,1,py
8c2eb2a36bdcb415,stage_hj_agnostic_null.py,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/scripts/stage_hj_agnostic_null.py,1,py
98ddaa522174fce2,stage_a_reopening_audit.py,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/scripts/stage_a_reopening_audit.py,1,py
322a4f351160fe82,A_IDENTIFIABILITY_REOPENING_AUDIT.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/reports/A_IDENTIFIABILITY_REOPENING_AUDIT.md,1,md
6bc381a8c5a22455,C_SOURCE_DISCOVERY_AUDIT.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/reports/C_SOURCE_DISCOVERY_AUDIT.md,1,md
3afc21f1a9843819,EF_KNOWN_SCRIPT_AND_ANCHORS.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/reports/EF_KNOWN_SCRIPT_AND_ANCHORS.md,1,md
80f72bb0cfd511c9,B_CORPUS_FORENSICS.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/reports/B_CORPUS_FORENSICS.md,1,md
2df4529bac175b41,KL_UNLOCK_AND_FINAL_VERDICT.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/reports/KL_UNLOCK_AND_FINAL_VERDICT.md,1,md
22ad2265109b09e7,D_CONSTRAINT_MINING.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/reports/D_CONSTRAINT_MINING.md,1,md
e05b0c9f3565b9e4,CHECKPOINT_1_AB.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/CHECKPOINTS/CHECKPOINT_1_AB.md,1,md
dc0dde54f345938e,CHECKPOINT_3_EL.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/CHECKPOINTS/CHECKPOINT_3_EL.md,1,md
65073b445e9febb7,CHECKPOINT_2_CD.md,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/CHECKPOINTS/CHECKPOINT_2_CD.md,1,md
1d3fa17d5fb57944,stage_a_budget.json,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/data/stage_a_budget.json,1,json
c59fc72b04596c0b,stage_hj_null.json,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/data/stage_hj_null.json,1,json
9b2f0cd94b7e8c54,clean_phonetic_wordforms.json,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/data/clean_phonetic_wordforms.json,1,json
699437223a68df47,stage_b_representation.json,linear_a_constraint_expansion,logos-linear-a-constraint-expansion:experiments/linear_a_constraint_expansion/data/stage_b_representation.json,1,json
9ed7ceaec41489ae,ASSUMPTION_REGISTER.json,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/ASSUMPTION_REGISTER.json,2,json
eacd48c337ae9ef2,LICENCE_STATE.json,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/LICENCE_STATE.json,2,json
9b408dd97982a6dc,DECISION_LOG.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/DECISION_LOG.md,2,md
1c3b1a9f4457fd02,CAMPAIGN.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/CAMPAIGN.md,2,md
502d8560fb59cdc4,SEARCH_RECEIPT.json,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/SEARCH_RECEIPT.json,2,json
2903837c81bdc238,FINAL_CAMPAIGN_REPORT.md,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/FINAL_CAMPAIGN_REPORT.md,2,md
ca065fc710213571,SOURCE_REGISTER.csv,linear_a_foundry,logos-linear-a-decipherment-foundry:experiments/linear_a_foundry/SOURCE_REGISTER.csv,2,csv
