source_file,doc_id,site,support,locus,seq,context_word,logogram,integer,fraction_seq,uncertain,restored,damaged,is_kuro,parser,adjudicated_agree
HTtexts,HT 69,Haghia Triada,tablet,.3,406,DI,,12,,0,1,0,0,A,1
misctexts,KH 29,Khania,tablet,.3,143,,,2,,0,1,0,0,A,1
HTtexts,HT 93,Haghia Triada,tablet,a.9,482,VIR,,10,F,0,1,0,0,A,1
HTtexts,HT 141,Haghia Triada,tablet,.1,843,,,1,,0,1,0,0,A,1
misctexts,PH 8,Phaistos,tablet,a.2,279,VIR,,11,,0,1,0,0,A,1
HTtexts,HT 96,Haghia Triada,tablet,b.3,533,FIC,,2,K,0,0,0,0,A,1
HTtexts,HT 101,Haghia Triada,tablet,.5,581,,,20,,0,1,0,0,A,1
misctexts,KH 20,Khania,tablet,.2,130,,,,B,0,1,0,0,A,1
HTtexts,HT 51,Haghia Triada,tablet,a.1,350,,,5,,0,1,0,0,A,1
HTtexts,HT 52,Haghia Triada,tablet,a.2,354,,,4,,0,1,0,0,A,1
HTtexts,HT 94,Haghia Triada,tablet,a.3,492,FIC,,3,H,0,0,0,0,A,1
HTtexts,HT 94,Haghia Triada,tablet,a.3,507,FIC,,3,H,0,0,0,0,A,1
HTtexts,HT 91,Haghia Triada,tablet,.4,469,,,5,E,0,0,0,0,A,1
HTtexts,HT 99,Haghia Triada,tablet,b.1,558,FIC,SI+SE *529,6,,0,0,0,0,A,1
HTtexts,HT 8,Haghia Triada,tablet,b.5,58,,,,J,0,0,0,0,A,1
misctexts,KH 35,Khania,tablet,.2,152,,,1,,0,1,0,0,A,1
HTtexts,HT 94,Haghia Triada,tablet,a.5,497,,,14,J,0,1,0,0,A,1
HTtexts,HT 94,Haghia Triada,tablet,a.5,498,FIC,,,D,0,0,0,0,A,1
HTtexts,HT 94,Haghia Triada,tablet,a.5,513,FIC,,,D,0,0,0,0,A,1
misctexts,KH 3,Khania,tablet,.1,41,NU,,1,,0,1,0,0,A,1
HTtexts,HT 110,Haghia Triada,tablet,b.2,629,,,1,,0,1,0,0,A,1
HTtexts,HT 110,Haghia Triada,tablet,b.2,630,MA,,5,J,0,0,0,0,A,1
misctexts,KH 87,Khania,tablet,.3,204,,,,J,0,1,0,0,A,1
HTtexts,HT 101,Haghia Triada,tablet,.3,578,OLE,,10,,0,0,0,0,A,1
misctexts,KH 51,Khania,tablet,.2,162,,,4,,0,1,0,0,A,1
HTtexts,HT 66,Haghia Triada,tablet,.4,400,RE,,1,,0,1,0,0,A,1
misctexts,KH 57,Khania,tablet,.2,166,ZO,,1,,0,1,0,0,A,1
HTtexts,HT 110,Haghia Triada,tablet,a.5,626,,,60,,0,1,0,0,A,1
misctexts,PH 3,Phaistos,tablet,a.4,272,,,1,,0,1,0,0,A,1
misctexts,ZA 16,Zakros,tablet,.4,475,PA,,6,,0,1,0,0,A,1
misctexts,ZA 16,Zakros,tablet,.4,476,SU,,4,,0,1,0,0,A,1
HTtexts,HT 131,Haghia Triada,tablet,b.2,804,FIC,,30,,0,1,0,0,A,1
HTtexts,HT 131,Haghia Triada,tablet,b.2,805,OLIV,,2,,0,1,0,0,A,1
misctexts,KN 28,Knossos,tablet,b.3,224,,,3,,0,1,0,0,A,1
HTtexts,HT 130,Haghia Triada,tablet,.5-6,798,FIC,,6,,0,0,0,0,A,1
misctexts,KH 100,Khania,tablet,.3,214,,,,KEE,0,1,0,0,A,1
misctexts,KH 61,Khania,tablet,.3,177,,,,B,0,1,0,0,A,1
misctexts,KH 86,Khania,tablet,.3,203,,,3,,0,1,0,0,A,1
HTtexts,HT 44,Haghia Triada,tablet,b.4,314,,,18,,0,1,0,0,A,1
misctexts,KH 15,Khania,tablet,.2,117,FIC,,,E,0,1,0,0,A,1
HTtexts,HT 122,Haghia Triada,tablet,a.2,710,,,2,,0,1,0,0,A,1
misctexts,KH 18,Khania,tablet,.2,123,,,5,,0,1,0,0,A,1
misctexts,KH 47,Khania,tablet,.2,157,,,6,,0,1,0,0,A,1
misctexts,KN 28,Knossos,tablet,a.4,223,GRA,,5,,0,1,0,0,A,1
HTtexts,HT 109,Haghia Triada,tablet,.2,619,TA,,4,,0,1,0,0,A,1
misctexts,KH 16,Khania,tablet,.3,119,,,,J,0,1,0,0,A,1
HTtexts,HT 97,Haghia Triada,tablet,a.6,544,,,3,DE,0,1,0,0,A,1
